StockCode,Description,TotalRevenue,TotalQuantity
48194,DOOR MAT HEARTS,9752.51,1659
84050,PINK HEART SHAPE EGG FRYING PAN,9699.1,7014
20749,ASSORTED COLOUR MINI CASES,9669.28,1336
21174,POTTERING IN THE SHED METAL SIGN,9597.32,5408
22084,PAPER CHAIN KIT EMPIRE,9569.05,3519
22607,WOODEN ROUNDERS GARDEN SET,9487.98,1147
84978,HANGING HEART JAR T-LIGHT HOLDER,9435.21,8050
22569,FELTCRAFT CUSHION BUTTERFLY,9418.95,2705
21136,PAINTED METAL PEARS ASSORTED,9363.9,5718
48184,DOOR MAT ENGLISH ROSE,9341.95,1445
22147,FELTCRAFT BUTTERFLY HEARTS,9335.6,6776
21218,RED SPOTTY BISCUIT TIN,9319.5,2646
84945,MULTI COLOUR SILVER T-LIGHT HOLDER,9302.4,11802
85048,15CM CHRISTMAS GLASS BALL 20 LIGHTS,9292.85,1263
22171,3 HOOK PHOTO SHELF ANTIQUE WHITE,9266.89,1288
85099B,RED RETROSPOT JUMBO BAG,9260.7,5318
22606,WOODEN SKITTLES GARDEN SET,9233.04,704
22633,HAND WARMER UNION JACK,9219.6,4576
22295,HEART FILIGREE DOVE LARGE,9217.65,5697
48187,DOORMAT NEW ENGLAND,9214.25,1523
79323P,PINK CHERRY LIGHTS,9203.75,1545
22467,GUMBALL COAT RACK,9143.13,4017
22617,BAKING SET SPACEBOY DESIGN,9113.87,1935
22554,PLASTERS IN TIN WOODLAND ANIMALS,9046.5,5634
21975,PACK OF 60 DINOSAUR CAKE CASES,8980.13,18923
22236,CAKE STAND 3 TIER MAGIC GARDEN,8871.9,730
21484,CHICK GREY HOT WATER BOTTLE,8830.8,2704
21877,HOME SWEET HOME MUG,8813.5,8606
17003,BROCADE RING PURSE,8805.1,47430
22561,WOODEN SCHOOL COLOURING SET,8782.95,5451
21624,VINTAGE UNION JACK DOORSTOP,8769.58,1498
22555,PLASTERS IN TIN STRONGMAN,8746.65,5493
22659,LUNCH BOX I LOVE LONDON,8733,4934
22635,CHILDS BREAKFAST SET DOLLY GIRL,8666.9,934
85232B,SET/3 RUSSIAN DOLL STACKING TINS,8659.2,1824
22557,PLASTERS IN TIN VINTAGE PAISLEY,8576.45,5441
22570,FELTCRAFT CUSHION RABBIT,8565.87,2381
21704,BAG 250g SWIRLY MARBLES,8473.49,11237
21485,RETROSPOT HEART HOT WATER BOTTLE,8440.5,1818
20724,RED SPOTTY CHARLOTTE BAG,8419.75,10590
22381,TOY TIDY PINK RETROSPOT,8397.3,4281
22499,WOODEN UNION JACK BUNTING,8376,1440
21390,FILIGRIS HEART WITH BUTTERFLY,8355.01,6881
22835,HOT WATER BOTTLE I AM SO POORLY,8354.25,1841
22636,CHILDS BREAKFAST SET CIRCUS PARADE,8274.28,1026
84839,SWEETHEART KEY CABINET,8229.9,1482
22632,HAND WARMER RED RETROSPOT,8229.55,4033
84947,ANTIQUE SILVER TEA GLASS ENGRAVED,8196.16,7064
47567B,TEA TIME KITCHEN APRON,8192.25,1563
22634,CHILDS BREAKFAST SET SPACEBOY,8171.65,880
22169,FAMILY ALBUM WHITE PICTURE FRAME,8115.8,1001
22413,METAL SIGN TAKE IT OR LEAVE IT,8111.17,3075
22198,LARGE POPCORN HOLDER,8083.9,5114
22699,ROSES REGENCY TEACUP AND SAUCER,8064.85,2971
22170,PICTURE FRAME WOOD TRIPLE PORTRAIT,8053.5,1250
21479,WHITE SKULL HOT WATER BOTTLE,8050.23,2217
48185,DOORMAT FAIRY CAKE,8040.21,1343
21777,RECIPE BOX WITH METAL HEART,8014.35,1053
22271,FELTCRAFT DOLL ROSIE,7964.19,2887
20719,WOODLAND CHARLOTTE BAG,7938.93,10028
21488,RED WHITE SCARF  HOT WATER BOTTLE,7933.9,2162
22941,CHRISTMAS LIGHTS 10 REINDEER,7931.35,971
22625,RED KITCHEN SCALES,7929.65,966
22568,FELTCRAFT CUSHION OWL,7880.91,2173
21906,PHARMACIE FIRST AID TIN,7859.59,1157
21982,PACK OF 12 SUKI TISSUES,7847.38,24668
48188,DOOR MAT WELCOME PUPPIES,7829.09,1413
22501,PICNIC BASKET WICKER LARGE,7810.95,842
22560,TRADITIONAL MODELLING CLAY,7777.53,6585
21121,SET/10 RED SPOTTY PARTY CANDLES,7745.66,6430
21165,BEWARE OF THE CAT METAL SIGN,7727.52,5088
21186,WHITE DOVE HONEYCOMB PAPER GARLAND,7722.8,5012
48188,DOORMAT WELCOME PUPPIES,7709.46,1328
84880,WHITE WIRE EGG HOLDER,7709.1,1438
20718,RED SPOTTY SHOPPER BAG,7696.95,6647
22273,FELTCRAFT DOLL MOLLY,7658.44,2764
21340,CLASSIC METAL BIRDCAGE PLANT HOLDER,7651.75,765
21524,DOORMAT SPOTTY HOME SWEET HOME,7647.81,1083
20685,DOORMAT RED RETROSPOT,7645.65,1071
21769,VINTAGE POST OFFICE CABINET,7635.07,119
22502,PICNIC BASKET WICKER SMALL,7608.7,1630
20828,GLITTER BUTTERFLY CLIPS,7520.55,3233
21889,WOODEN BOX OF DOMINOES,7499.92,6286
21868,POTTING SHED TEA MUG,7467.22,6466
21094,SET/6 RED SPOTTY PAPER PLATES,7463.41,10165
21533,RETRO SPOT LARGE MILK JUG,7452.6,1588
21523,DOOR MAT FANCY FONT HOME SWEET HOME,7407.9,1116
22652,TRAVEL SEWING KIT,7384.3,4678
21737,SET 3 WICKER LOG BASKETS,7360.05,399
21260,FIRST AID TIN,7344.5,2302
22082,RIBBON REEL STRIPES DESIGN,7337.5,4550
22041,"RECORD FRAME 7"""" SINGLE SIZE ",7328.1,3346
22275,WEEKEND BAG VINTAGE ROSE PAISLEY,7307.45,901
22150,3 STRIPEY MICE FELTCRAFT,7296.65,4091
21429,RED GINGHAM ROSE JEWELLERY BOX,7269.15,4487
47570B,TEA TIME TABLE CLOTH,7252.8,752
22139,RETROSPOT TEA SET CERAMIC 11 PC,7237.05,1521
21035,SET/2 RED SPOTTY TEA TOWELS,7234,2536
85067,CREAM SWEETHEART WALL CABINET,7233.76,462
22424,ENAMEL BREAD BIN CREAM,7217.4,596
22946,WOODEN ADVENT CALENDAR CREAM,7214.55,497
22366,DOORMAT AIRMAIL,7173.45,1237
22487,WHITE WOOD GARDEN PLANT LADDER,7159.1,759
22064,PINK DOUGHNUT TRINKET POT,7142.9,4594
48184,DOORMAT ENGLISH ROSE,7141.19,1227
48111,DOORMAT 3 SMILEY CATS,7123.72,1222
22468,BABUSHKA LIGHTS STRING OF 10,7120.9,1146
20685,DOORMAT RED SPOT,7050.21,1035
21122,SET/10 PINK SPOTTY PARTY CANDLES,6970.38,5766
21936,RED RETROSPOT PICNIC BAG,6954,2480
22649,STRAWBERRY FAIRY CAKE TEAPOT,6929.85,1453
48173C,DOOR MAT BLACK FLOCK,6922.9,1220
47556B,TEA TIME TEA TOWELS,6918.7,2386
84987,SET OF 36 TEATIME PAPER DOILIES,6874.2,4860
15056P,EDWARDIAN PARASOL PINK,6854.2,1420
84212,"ASSORTED FLOWER COLOUR """"LEIS""""",6846.07,14303
21672,WHITE SPOT RED CERAMIC DRAWER KNOB,6843.58,5810
48129,DOORMAT TOPIARY,6831.88,1186
22646,CERAMIC STRAWBERRY CAKE MONEY BANK,6819.25,4885
22380,TOY TIDY SPACEBOY,6811.25,3518
85064,CREAM SWEETHEART LETTER RACK,6799.52,1520
21169,YOU'RE CONFUSING ME METAL SIGN,6780.79,4423
22464,HANGING METAL HEART LANTERN,6776.55,4219
72351B,SET/6 PINK  BUTTERFLY T-LIGHTS,6769.2,3528
22173,METAL 4 HOOK HANGER FRENCH CHATEAU,6765.6,2448
22207,FRYING PAN UNION FLAG,6749.5,1710
62018,SOMBRERO,6728.15,5149
22179,SET 10 LIGHTS NIGHT OWL,6723.8,1044
84997A,GREEN 3 PIECE MINI DOTS CUTLERY SET,6717.54,1874
22666,RECIPE BOX PANTRY YELLOW DESIGN,6710.6,2348
21559,STRAWBERRY LUNCH BOX WITH CUTLERY,6709.35,2785
22121,NOEL WOODEN BLOCK LETTERS,6668.1,1123
22386,JUMBO BAG PINK POLKADOT,6668.1,3764
22357,KINGS CHOICE BISCUIT TIN,6662.24,1536
21527,RETRO SPOT TRADITIONAL TEAPOT,6636.3,894
85014D,PINK/BROWN DOTS RUFFLED UMBRELLA,6613.55,1913
21428,SET3 BOOK BOX GREEN GINGHAM FLOWER,6603.75,1699
21216,"SET 3 RED SPOT TIN TEA,COFFEE,SUGAR",6600.85,1425
22365,DOORMAT RESPECTABLE HOUSE,6595.1,1158
21259,VICTORIAN SEWING BOX SMALL,6532.8,1144
21912,VINTAGE SNAKES & LADDERS,6529.44,1784
22584,PACK OF 6 PANNETONE GIFT BOXES,6515.85,2659
22485,SET OF 2 WOODEN MARKET CRATES,6506.1,534
21781,MA CAMPAGNE CUTLERY BOX,6503.55,449
22301,COFFEE MUG CAT + BIRD DESIGN,6498.3,2692
20685,RED SPOTTY COIR DOORMAT,6491.5,1090
22274,FELTCRAFT DOLL EMILY,6473.06,2360
21770,OPEN CLOSED METAL SIGN,6457.5,1282
22558,CLOTHES PEGS RETROSPOT PACK 24,6437.38,5414
48129,DOOR MAT TOPIARY,6428.79,1023
85065,CREAM SWEETHEART TRAYS,6420.45,551
84375,SET OF 20 KIDS COOKIE CUTTERS,6418.2,3388
21871,SAVE THE PLANET MUG,6418.1,5890
22940,FELTCRAFT CHRISTMAS FAIRY,6394,1544
22088,PAPER BUNTING COLOURED LACE,6381.5,2330
22417,PACK OF 60 SPACEBOY CAKE CASES,6380.9,12878
21156,RETROSPOT CHILDRENS APRON,6354.15,3613
51008,AFGHAN SLIPPER SOCK PAIR,6341.5,1970
21673,WHITE SPOT BLUE CERAMIC DRAWER KNOB,6337.48,5396
21380,WOODEN HAPPY BIRTHDAY GARLAND,6335,2228
21974,SET OF 36 PAISLEY FLOWER DOILIES,6323.8,4540
47599A,PINK PARTY BAGS,6288.9,3393
22528,GARDENERS KNEELING PAD,6281.08,5324
48116,DOOR MAT MULTICOLOUR STRIPE,6278.18,1038
21955,DOORMAT UNION JACK GUNS AND ROSES,6255.23,1097
22697,GREEN REGENCY TEACUP AND SAUCER,6247.9,2266
84378,SET OF 3 HEART COOKIE CUTTERS,6239.94,5083
21890,S/6 WOODEN SKITTLES IN COTTON BAG,6215.05,2265
21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,6207,2531
22427,ENAMEL FLOWER JUG CREAM,6175.05,1069
35961,FOLKART ZINC HEART CHRISTMAS DEC,6161.78,8042
20723,STRAWBERRY CHARLOTTE BAG,6133.98,7695
82582,AREA PATROLLED METAL SIGN,6122.3,3095
22352,LUNCH BOX WITH CUTLERY RETROSPOT,6120,2544
22300,COFFEE MUG DOG + BALL DESIGN,6106.65,2525
22654,DELUXE SEWING KIT,6097.45,1071
85068,CREAM SWEETHEART SHELF + HOOKS,6075.71,919
21937,STRAWBERRY   PICNIC BAG,6073.65,2187
21535,RED RETROSPOT SMALL MILK JUG,6065.1,2478
22759,SET OF 3 NOTEBOOKS IN PARCEL,6046.05,3769
47591D,PINK FAIRY CAKE CHILD'S APRON,6036.21,3327
22623,BOX OF VINTAGE JIGSAW BLOCKS,6028,1252
21669,BLUE STRIPE CERAMIC DRAWER KNOB,6022.25,5078
21888,BINGO SET,6016.74,1630
22727,ALARM CLOCK BAKELIKE RED,5989.14,1614
48173C,DOORMAT BLACK FLOCK,5975.56,1050
22694,WICKER STAR,5945.1,2881
47502,POLKADOT CUTLERY 24 PCS IN TRAY,5931.95,581
21124,SET/10 BLUE SPOTTY PARTY CANDLES,5926.35,4887
21985,PACK OF 12 HEARTS DESIGN TISSUES,5923.83,16309
22303,COFFEE MUG APPLES DESIGN,5923.65,2488
21980,PACK OF 12 RED SPOTTY TISSUES,5916.13,22619
21257,VICTORIAN SEWING BOX MEDIUM,5912.85,790
22627,MINT KITCHEN SCALES,5909.2,718
21984,PACK OF 12 PINK PAISLEY TISSUES,5887.26,21878
C2,CARRIAGE,5885,115
22909,SET OF 20 VINTAGE CHRISTMAS NAPKINS,5856.27,7539
22619,SET OF 6 SOLDIER SKITTLES,5823.3,1598
84792,ENCHANTED BIRD COATHANGER 5 HOOK,5820.93,1413
21671,RED SPOT CERAMIC DRAWER KNOB,5817.57,4929
20914,SET/5 RED RETROSPOT LID GLASS BOWLS,5812.9,2086
22553,PLASTERS IN TIN SKULLS,5794.05,3561
22690,DOORMAT HOME SWEET HOME BLUE,5788.62,914
21212,PACK OF 72 RETROSPOT CAKE CASES,5779.47,12333
21833,CAMOUFLAGE LED TORCH,5748.73,3449
21907,I'M ON HOLIDAY METAL SIGN,5725.8,2788
21914,BLUE HARMONICA IN BOX,5721.09,4617
21870,I CAN ONLY PLEASE ONE PERSON MUG,5714.67,4797
21430,SET/3 RED GINGHAM ROSE STORAGE BOX,5707.89,1571
79000,MOROCCAN TEA GLASS,5705.51,7571
21172,PARTY METAL SIGN,5698.3,4118
22488,NATURAL SLATE RECTANGLE CHALKBOARD,5696.55,3571
20754,RETRO RED SPOTTY WASHING UP GLOVES,5685.36,2980
21745,GAOLERS KEYS DECORATIVE GARDEN,5642.21,1763
79323LP,LIGHT PINK CHERRY LIGHTS,5608.2,962
85047,WHITE BEADED GARLAND STRING 20LIGHT,5586.05,919
22131,FOOD CONTAINER SET 3 LOVE HEART,5579.25,3127
21844,RED RETROSPOT MUG,5564.5,2014
16014,SMALL CHINESE STYLE SCISSOR,5503.22,17041
21385,IVORY HANGING DECORATION  HEART,5495.29,6733
21768,WALL MOUNTED VINTAGE ORGANISER,5494.99,459
75049L,LARGE CIRCULAR MIRROR MOBILE,5491.9,6094
21361,LOVE LARGE WOOD LETTERS,5481.15,445
22698,PINK REGENCY TEACUP AND SAUCER,5437.05,2015
22348,TEA BAG PLATE RED SPOTTY,5428.87,6787
22580,ADVENT CALENDAR GINGHAM SACK,5421.05,919
22109,FULL ENGLISH BREAKFAST PLATE,5413.47,1513
21981,PACK OF 12 WOODLAND TISSUES,5409.54,20796
72756,FAIRY CAKE CANDLES,5408.82,3978
22812,PACK 3 BOXES CHRISTMAS PANNETONE,5408.1,2862
21749,LARGE RED SPOT WINDMILL,5390.4,2894
37370,RETRO COFFEE MUGS ASSORTED,5389.25,4737
22215,CAKE STAND WHITE TWO TIER LACE,5370.3,652
22355,CHARLOTTE BAG SUKI DESIGN,5370.1,6733
22952,60 CAKE CASES VINTAGE CHRISTMAS,5365.92,10800
22943,CHRISTMAS LIGHTS 10 VINTAGE BAUBLES,5356.4,1176
21668,RED STRIPE CERAMIC DRAWER KNOB,5354.22,4458
21114,LAVENDER SCENTED FABRIC HEART,5297.65,4305
22089,PAPER BUNTING VINTAGE PAISLEY,5296.3,1954
22221,CAKE STAND LOVEBIRD 2 TIER PINK,5295,752
20829,GLITTER HANGING BUTTERFLY STRING,5279.9,2488
21135,VICTORIAN  METAL POSTCARD SPRING,5272.8,3120
21892,TRADITIONAL WOODEN CATCH CUP GAME,5251.42,4434
21086,SET/6 RED SPOTTY PAPER CUPS,5234.57,8689
35970,ZINC FOLKART SLEIGH BELLS,5218.9,3250
22329,ROUND CONTAINER SET OF 5 RETROSPOT,5215.9,3362
84988,SET OF 72 PINK HEART PAPER DOILIES,5213.55,3675
21875,KINGS CHOICE MUG,5195.33,4671
10002,INFLATABLE POLITICAL GLOBE,5178.42,6578
21432,SET OF 3 CASES WOODLAND DESIGN,5175.25,905
22618,COOKING SET RETROSPOT,5175.09,543
22078,RIBBON REEL LACE DESIGN,5171.6,2521
22327,ROUND SNACK BOXES SET OF 4 SKULLS,5159.3,1822
22804,CANDLEHOLDER PINK HANGING HEART,5157.12,1824
22151,PLACE SETTING WHITE HEART,5116.56,12514
21491,SET OF THREE VINTAGE GIFT WRAPS,5104.65,2795
20676,RED SPOTTY BOWL,5096.44,4343
21498,RED SPOTS  WRAP,5094.5,12625
47591D,PINK FAIRY CAKE CHILDRENS APRON,5078.4,2804
22358,KINGS CHOICE TEA CADDY,5066.1,1806
22055,MINI CAKE STAND  HANGING STRAWBERY,5053.95,3235
79029,GLASS HONEYPOT WASP CATCHER,5051.1,2836
21670,BLUE SPOT CERAMIC DRAWER KNOB,5046.21,4197
22662,LUNCH BAG DOLLY GIRL DESIGN,5045.15,3231
22302,COFFEE MUG PEARS  DESIGN,5037.66,2502
84380,SET OF 3 BUTTERFLY COOKIE CUTTERS,5033.76,4224
21242,RED SPOTTY PLATE,5005.77,3129
35832,WOOLLY HAT SOCK GLOVE ADVENT STRING,4991.15,1687
20970,PINK FLORAL FELTCRAFT SHOULDER BAG,4985.64,1368
21587,COSY HOUR GIANT TUBE MATCHES,4966.5,1990
22418,10 COLOUR SPACEBOY PEN,4962.18,5970
21935,SUKI  SHOULDER BAG,4923.75,3155
22726,ALARM CLOCK BAKELIKE GREEN,4922.31,1313
22592,CARDHOLDER HOLLY WREATH METAL,4915.77,1327
21716,BOYS VINTAGE TIN SEASIDE BUCKET,4891.71,2157
21411,GINGHAM HEART  DOORSTOP RED,4881.38,1254
21667,GLASS CAKE COVER AND PLATE,4878.8,304
22632,HAND WARMER RED POLKA DOT,4876.2,2592
22834,HAND WARMER BABUSHKA DESIGN,4870.8,2388
22079,RIBBON REEL HEARTS DESIGN,4865.05,3037
20725,LUNCH BAG RED RETROSPOT,4857.9,3082
22283,6 EGG HOUSE PAINTED WOOD,4838.65,667
